2025-01-14 00:37:12,337 - b2_model - INFO - Training class distribution: Counter({'l-pass': 378, 'r-pass': 353, 'l-set': 304, 'l-spike': 289, 'r-set': 283, 'r-spike': 261, 'l-winpoint': 161, 'r-winpoint': 123})
2025-01-14 00:37:12,337 - b2_model - INFO - Validation class distribution: Counter({'r-pass': 238, 'l-pass': 222, 'r-spike': 189, 'l-spike': 174, 'r-set': 169, 'l-set': 160, 'l-winpoint': 104, 'r-winpoint': 85})
2025-01-14 00:37:14,105 - b2_model - INFO - Current path: C:\Project\project
2025-01-14 00:37:14,105 - b2_model - INFO - Files in current path: ['.git', '.gitignore', 'app.log', 'dataloading', 'dataset', 'modeling', 'models_trained', 'players_dataset', 'README.md', 'saved_pickles', 'utils']
2025-01-14 00:37:14,105 - b2_model - INFO - No model found starting from scratch
2025-01-14 00:45:27,211 - b2_model - INFO - Evaluating : Epoch 3, Batch 14/84 loss 1.4014104349272591 accuracy 0.49166666666666664
2025-01-14 00:45:40,007 - b2_model - INFO - Evaluating : Epoch 3, Batch 29/84 loss 1.4126933813095093 accuracy 0.4875
2025-01-14 00:45:52,588 - b2_model - INFO - Evaluating : Epoch 3, Batch 44/84 loss 1.295987981286916 accuracy 0.525
2025-01-14 00:46:04,157 - b2_model - INFO - Evaluating : Epoch 3, Batch 59/84 loss 1.2473250546697843 accuracy 0.534375
2025-01-14 00:46:15,167 - b2_model - INFO - Evaluating : Epoch 3, Batch 74/84 loss 1.2212695584103868 accuracy 0.5358333333333334
2025-01-14 00:46:20,835 - b2_model - INFO - Eval Epoch 3: Loss 1.186867383973939, Accuracy: 0.5421327367636093
2025-01-14 00:46:20,935 - b2_model - INFO - Epoch 4, Current LR: 7e-05
2025-01-14 00:46:37,923 - b2_model - INFO - Training: Epoch 4, Batch 19/135 loss 1.1815028943513568 accuracy 0.58125
2025-01-14 00:46:54,180 - b2_model - INFO - Training: Epoch 4, Batch 39/135 loss 1.106150787610274 accuracy 0.5953125
2025-01-14 00:47:10,487 - b2_model - INFO - Training: Epoch 4, Batch 59/135 loss 1.085097405870082 accuracy 0.6041666666666666
2025-01-14 00:47:26,528 - b2_model - INFO - Training: Epoch 4, Batch 79/135 loss 1.0667433602900445 accuracy 0.615625
2025-01-14 00:47:43,365 - b2_model - INFO - Training: Epoch 4, Batch 99/135 loss 1.059815475434968 accuracy 0.61625
2025-01-14 00:48:00,403 - b2_model - INFO - Training: Epoch 4, Batch 119/135 loss 1.0588055217967314 accuracy 0.6192708333333333
2025-01-14 00:48:11,529 - b2_model - INFO - Epoch 4, Loss: 1.0480827812795286 Accuracy: 0.616635687732342
2025-01-14 00:48:25,357 - b2_model - INFO - Evaluating : Epoch 4, Batch 14/84 loss 1.3691685923508234 accuracy 0.5125
2025-01-14 00:48:37,753 - b2_model - INFO - Evaluating : Epoch 4, Batch 29/84 loss 1.3732917534893956 accuracy 0.5041666666666667
2025-01-14 00:48:50,078 - b2_model - INFO - Evaluating : Epoch 4, Batch 44/84 loss 1.2545087798075243 accuracy 0.5416666666666666
2025-01-14 00:49:01,362 - b2_model - INFO - Evaluating : Epoch 4, Batch 59/84 loss 1.1963314434229317 accuracy 0.5645833333333333
2025-01-14 00:49:12,103 - b2_model - INFO - Evaluating : Epoch 4, Batch 74/84 loss 1.168865068538769 accuracy 0.5741666666666667
2025-01-14 00:49:17,394 - b2_model - INFO - Eval Epoch 4: Loss 1.136131831577846, Accuracy: 0.5749440715883669
2025-01-14 00:49:17,487 - b2_model - INFO - Epoch 5, Current LR: 4.899999999999999e-05
2025-01-14 00:49:33,930 - b2_model - INFO - Training: Epoch 5, Batch 19/135 loss 1.075162592687105 accuracy 0.63125
2025-01-14 00:49:50,070 - b2_model - INFO - Training: Epoch 5, Batch 39/135 loss 1.0388201200045073 accuracy 0.6234375
2025-01-14 00:50:05,905 - b2_model - INFO - Training: Epoch 5, Batch 59/135 loss 1.0214496659020247 accuracy 0.6364583333333333
2025-01-14 00:50:21,695 - b2_model - INFO - Training: Epoch 5, Batch 79/135 loss 1.024604073808163 accuracy 0.634375
2025-01-14 00:50:37,481 - b2_model - INFO - Training: Epoch 5, Batch 99/135 loss 1.0131213141210151 accuracy 0.63875
2025-01-14 00:50:53,384 - b2_model - INFO - Training: Epoch 5, Batch 119/135 loss 1.00574839766286 accuracy 0.6390625
2025-01-14 00:51:04,523 - b2_model - INFO - Epoch 5, Loss: 0.9861761684770938 Accuracy: 0.6435873605947955
2025-01-14 00:51:18,389 - b2_model - INFO - Evaluating : Epoch 5, Batch 14/84 loss 1.3100301112447466 accuracy 0.5083333333333333
2025-01-14 00:51:31,024 - b2_model - INFO - Evaluating : Epoch 5, Batch 29/84 loss 1.329787805162627 accuracy 0.51875
2025-01-14 00:51:43,539 - b2_model - INFO - Evaluating : Epoch 5, Batch 44/84 loss 1.200896186584776 accuracy 0.5625
2025-01-14 00:51:54,898 - b2_model - INFO - Evaluating : Epoch 5, Batch 59/84 loss 1.139337989738432 accuracy 0.5864583333333333
2025-01-14 00:52:05,972 - b2_model - INFO - Evaluating : Epoch 5, Batch 74/84 loss 1.1115162312178999 accuracy 0.5891666666666666
2025-01-14 00:52:11,361 - b2_model - INFO - Eval Epoch 5: Loss 1.0793744620113146, Accuracy: 0.5935868754660701
2025-01-14 00:52:11,454 - b2_model - INFO - Epoch 6, Current LR: 4.899999999999999e-05
2025-01-14 00:52:28,569 - b2_model - INFO - Training: Epoch 6, Batch 19/135 loss 1.057533091620395 accuracy 0.603125
2025-01-14 00:52:44,170 - b2_model - INFO - Training: Epoch 6, Batch 39/135 loss 1.002146540543972 accuracy 0.634375
2025-01-14 00:52:59,931 - b2_model - INFO - Training: Epoch 6, Batch 59/135 loss 0.9858882548445362 accuracy 0.64375
2025-01-14 00:53:15,465 - b2_model - INFO - Training: Epoch 6, Batch 79/135 loss 0.9807621225526061 accuracy 0.64765625
2025-01-14 00:53:31,131 - b2_model - INFO - Training: Epoch 6, Batch 99/135 loss 0.9800686059576093 accuracy 0.64625
2025-01-14 00:53:46,759 - b2_model - INFO - Training: Epoch 6, Batch 119/135 loss 0.955714144125706 accuracy 0.6588541666666666
2025-01-14 00:53:57,584 - b2_model - INFO - Epoch 6, Loss: 0.9381200838972021 Accuracy: 0.6658921933085502
2025-01-14 00:54:11,361 - b2_model - INFO - Evaluating : Epoch 6, Batch 14/84 loss 1.2931875033038003 accuracy 0.5541666666666667
2025-01-14 00:54:23,869 - b2_model - INFO - Evaluating : Epoch 6, Batch 29/84 loss 1.2979535501578758 accuracy 0.53125
2025-01-14 00:54:36,268 - b2_model - INFO - Evaluating : Epoch 6, Batch 44/84 loss 1.1640821600502187 accuracy 0.5763888888888888
2025-01-14 00:54:47,562 - b2_model - INFO - Evaluating : Epoch 6, Batch 59/84 loss 1.1056755306357045 accuracy 0.6041666666666666
2025-01-14 00:54:58,349 - b2_model - INFO - Evaluating : Epoch 6, Batch 74/84 loss 1.0770254489537832 accuracy 0.6108333333333333
2025-01-14 00:55:03,729 - b2_model - INFO - Eval Epoch 6: Loss 1.0482588289749055, Accuracy: 0.6122296793437733
2025-01-14 00:55:03,847 - b2_model - INFO - Epoch 7, Current LR: 3.4299999999999993e-05
2025-01-14 00:55:20,534 - b2_model - INFO - Training: Epoch 7, Batch 19/135 loss 0.8982382793175546 accuracy 0.703125
2025-01-14 00:55:36,496 - b2_model - INFO - Training: Epoch 7, Batch 39/135 loss 0.8642832652116433 accuracy 0.7171875
2025-01-14 00:55:52,633 - b2_model - INFO - Training: Epoch 7, Batch 59/135 loss 0.8699204366085893 accuracy 0.7125
2025-01-14 00:56:08,320 - b2_model - INFO - Training: Epoch 7, Batch 79/135 loss 0.8634456811071951 accuracy 0.71328125
2025-01-14 00:56:24,148 - b2_model - INFO - Training: Epoch 7, Batch 99/135 loss 0.85381862220138 accuracy 0.715
2025-01-14 00:56:40,231 - b2_model - INFO - Training: Epoch 7, Batch 119/135 loss 0.856990200381319 accuracy 0.7109375
2025-01-14 00:56:51,095 - b2_model - INFO - Epoch 7, Loss: 0.8532149899888921 Accuracy: 0.70817843866171
2025-01-14 00:57:04,989 - b2_model - INFO - Evaluating : Epoch 7, Batch 14/84 loss 1.234071088688714 accuracy 0.575
2025-01-14 00:57:17,563 - b2_model - INFO - Evaluating : Epoch 7, Batch 29/84 loss 1.253611215229692 accuracy 0.55
2025-01-14 00:57:30,049 - b2_model - INFO - Evaluating : Epoch 7, Batch 44/84 loss 1.1249062351205132 accuracy 0.5930555555555556
2025-01-14 00:57:41,419 - b2_model - INFO - Evaluating : Epoch 7, Batch 59/84 loss 1.0669805458036519 accuracy 0.6135416666666667
2025-01-14 00:57:52,217 - b2_model - INFO - Evaluating : Epoch 7, Batch 74/84 loss 1.0397072144456811 accuracy 0.6208333333333333
2025-01-14 00:57:57,540 - b2_model - INFO - Eval Epoch 7: Loss 1.0106750492538725, Accuracy: 0.6241610738255033
2025-01-14 00:57:57,662 - b2_model - INFO - Epoch 8, Current LR: 3.4299999999999993e-05
2025-01-14 00:58:14,693 - b2_model - INFO - Training: Epoch 8, Batch 19/135 loss 0.8485812011517977 accuracy 0.721875
2025-01-14 00:58:30,435 - b2_model - INFO - Training: Epoch 8, Batch 39/135 loss 0.8489354405647669 accuracy 0.71875
2025-01-14 00:58:46,207 - b2_model - INFO - Training: Epoch 8, Batch 59/135 loss 0.8532289721198001 accuracy 0.715625
2025-01-14 00:59:02,266 - b2_model - INFO - Training: Epoch 8, Batch 79/135 loss 0.8434599562536312 accuracy 0.71328125
2025-01-14 00:59:17,684 - b2_model - INFO - Training: Epoch 8, Batch 99/135 loss 0.8198957364968579 accuracy 0.725625
2025-01-14 00:59:32,937 - b2_model - INFO - Training: Epoch 8, Batch 119/135 loss 0.8187566244301676 accuracy 0.7223958333333333
2025-01-14 00:59:43,618 - b2_model - INFO - Epoch 8, Loss: 0.8192874409534313 Accuracy: 0.7170074349442379
2025-01-14 00:59:57,224 - b2_model - INFO - Evaluating : Epoch 8, Batch 14/84 loss 1.2601589219910758 accuracy 0.5708333333333333
2025-01-14 01:00:09,631 - b2_model - INFO - Evaluating : Epoch 8, Batch 29/84 loss 1.2802542242510566 accuracy 0.55
2025-01-14 01:00:22,021 - b2_model - INFO - Evaluating : Epoch 8, Batch 44/84 loss 1.139222044836391 accuracy 0.5972222222222222
2025-01-14 01:00:33,269 - b2_model - INFO - Evaluating : Epoch 8, Batch 59/84 loss 1.083602782023155 accuracy 0.6052083333333333
2025-01-14 01:00:44,040 - b2_model - INFO - Evaluating : Epoch 8, Batch 74/84 loss 1.0544518151798763 accuracy 0.6116666666666667
2025-01-14 01:00:49,408 - b2_model - INFO - Eval Epoch 8: Loss 1.0224136213461559, Accuracy: 0.615958240119314
2025-01-14 01:00:49,473 - b2_model - INFO - Epoch 9, Current LR: 2.4009999999999995e-05
2025-01-14 01:01:06,051 - b2_model - INFO - Training: Epoch 9, Batch 19/135 loss 0.8153044612784135 accuracy 0.73125
2025-01-14 01:01:21,963 - b2_model - INFO - Training: Epoch 9, Batch 39/135 loss 0.7744793899548359 accuracy 0.7453125
2025-01-14 01:01:37,638 - b2_model - INFO - Training: Epoch 9, Batch 59/135 loss 0.7916925751556785 accuracy 0.7395833333333334
2025-01-14 01:01:53,396 - b2_model - INFO - Training: Epoch 9, Batch 79/135 loss 0.7805476041534279 accuracy 0.7359375
2025-01-14 01:02:08,920 - b2_model - INFO - Training: Epoch 9, Batch 99/135 loss 0.775167068146696 accuracy 0.738125
2025-01-14 01:02:24,880 - b2_model - INFO - Training: Epoch 9, Batch 119/135 loss 0.7761226081046737 accuracy 0.7369791666666666
2025-01-14 01:02:35,904 - b2_model - INFO - Epoch 9, Loss: 0.7649058765835233 Accuracy: 0.7402416356877324
2025-01-14 01:02:49,739 - b2_model - INFO - Evaluating : Epoch 9, Batch 14/84 loss 1.2279064399855477 accuracy 0.5625
2025-01-14 01:03:02,356 - b2_model - INFO - Evaluating : Epoch 9, Batch 29/84 loss 1.238791774059164 accuracy 0.5520833333333334
2025-01-14 01:03:14,839 - b2_model - INFO - Evaluating : Epoch 9, Batch 44/84 loss 1.1078595898368142 accuracy 0.6083333333333333
2025-01-14 01:03:26,231 - b2_model - INFO - Evaluating : Epoch 9, Batch 59/84 loss 1.056058014853526 accuracy 0.6166666666666667
2025-01-14 01:03:37,046 - b2_model - INFO - Evaluating : Epoch 9, Batch 74/84 loss 1.0330407546984184 accuracy 0.6166666666666667
2025-01-14 01:03:42,405 - b2_model - INFO - Eval Epoch 9: Loss 1.0059614820139748, Accuracy: 0.6189410887397464
2025-01-14 01:03:42,471 - b2_model - INFO - Epoch 10, Current LR: 2.4009999999999995e-05
2025-01-14 01:03:59,376 - b2_model - INFO - Training: Epoch 10, Batch 19/135 loss 0.8011506341005626 accuracy 0.728125
2025-01-14 01:04:15,204 - b2_model - INFO - Training: Epoch 10, Batch 39/135 loss 0.7396172659519391 accuracy 0.7484375
2025-01-14 01:04:31,181 - b2_model - INFO - Training: Epoch 10, Batch 59/135 loss 0.753165280919964 accuracy 0.74375
2025-01-14 01:04:46,663 - b2_model - INFO - Training: Epoch 10, Batch 79/135 loss 0.7593398014955883 accuracy 0.74375
2025-01-14 01:05:02,351 - b2_model - INFO - Training: Epoch 10, Batch 99/135 loss 0.7500333626462956 accuracy 0.74875
2025-01-14 01:05:17,781 - b2_model - INFO - Training: Epoch 10, Batch 119/135 loss 0.7550211160623727 accuracy 0.7447916666666666
2025-01-14 01:05:28,118 - b2_model - INFO - Epoch 10, Loss: 0.742174012572677 Accuracy: 0.7490706319702602
2025-01-14 01:05:41,732 - b2_model - INFO - Evaluating : Epoch 10, Batch 14/84 loss 1.1759785924639021 accuracy 0.5916666666666667
2025-01-14 01:05:54,162 - b2_model - INFO - Evaluating : Epoch 10, Batch 29/84 loss 1.185210371839589 accuracy 0.5791666666666667
2025-01-14 01:06:06,448 - b2_model - INFO - Evaluating : Epoch 10, Batch 44/84 loss 1.0649705671451308 accuracy 0.6305555555555555
2025-01-14 01:06:17,690 - b2_model - INFO - Evaluating : Epoch 10, Batch 59/84 loss 1.0163810682498802 accuracy 0.6375
2025-01-14 01:06:28,396 - b2_model - INFO - Evaluating : Epoch 10, Batch 74/84 loss 0.9947557751391385 accuracy 0.6383333333333333
2025-01-14 01:06:33,729 - b2_model - INFO - Eval Epoch 10: Loss 0.9692589303567296, Accuracy: 0.639075316927666
2025-01-14 01:06:33,816 - b2_model - INFO - Epoch 11, Current LR: 1.6806999999999997e-05
2025-01-14 01:06:50,576 - b2_model - INFO - Training: Epoch 11, Batch 19/135 loss 0.7824588794457285 accuracy 0.775
2025-01-14 01:07:06,430 - b2_model - INFO - Training: Epoch 11, Batch 39/135 loss 0.7536286214987437 accuracy 0.76875
2025-01-14 01:07:22,336 - b2_model - INFO - Training: Epoch 11, Batch 59/135 loss 0.7484397479033066 accuracy 0.765625
2025-01-14 01:07:38,246 - b2_model - INFO - Training: Epoch 11, Batch 79/135 loss 0.7484766165666943 accuracy 0.75546875
2025-01-14 01:07:53,968 - b2_model - INFO - Training: Epoch 11, Batch 99/135 loss 0.7362670531176557 accuracy 0.756875
2025-01-14 01:08:09,893 - b2_model - INFO - Training: Epoch 11, Batch 119/135 loss 0.7350309160577149 accuracy 0.75625
2025-01-14 01:08:20,470 - b2_model - INFO - Epoch 11, Loss: 0.7265271961688995 Accuracy: 0.7555762081784386
2025-01-14 01:08:34,625 - b2_model - INFO - Evaluating : Epoch 11, Batch 14/84 loss 1.1987168831484658 accuracy 0.575
2025-01-14 01:08:47,198 - b2_model - INFO - Evaluating : Epoch 11, Batch 29/84 loss 1.2069650497929802 accuracy 0.56875
2025-01-14 01:08:59,609 - b2_model - INFO - Evaluating : Epoch 11, Batch 44/84 loss 1.0756615562872454 accuracy 0.6194444444444445
2025-01-14 01:09:10,946 - b2_model - INFO - Evaluating : Epoch 11, Batch 59/84 loss 1.0248909946215354 accuracy 0.6333333333333333
2025-01-14 01:09:21,694 - b2_model - INFO - Evaluating : Epoch 11, Batch 74/84 loss 1.0031973300753414 accuracy 0.6366666666666667
2025-01-14 01:09:27,104 - b2_model - INFO - Eval Epoch 11: Loss 0.9770672002008983, Accuracy: 0.6375838926174496
2025-01-14 01:09:27,167 - b2_model - INFO - Epoch 12, Current LR: 1.6806999999999997e-05
2025-01-14 01:09:43,667 - b2_model - INFO - Training: Epoch 12, Batch 19/135 loss 0.745536888900556 accuracy 0.8
2025-01-14 01:09:59,129 - b2_model - INFO - Training: Epoch 12, Batch 39/135 loss 0.7340922416784824 accuracy 0.7765625
2025-01-14 01:10:14,884 - b2_model - INFO - Training: Epoch 12, Batch 59/135 loss 0.7218667536468829 accuracy 0.7770833333333333
2025-01-14 01:10:30,549 - b2_model - INFO - Training: Epoch 12, Batch 79/135 loss 0.716207195309144 accuracy 0.77421875
2025-01-14 01:10:46,392 - b2_model - INFO - Training: Epoch 12, Batch 99/135 loss 0.7225058033610835 accuracy 0.76875
2025-01-14 01:11:01,803 - b2_model - INFO - Training: Epoch 12, Batch 119/135 loss 0.7245132317062185 accuracy 0.7640625
2025-01-14 01:11:12,830 - b2_model - INFO - Epoch 12, Loss: 0.7188176819571742 Accuracy: 0.762546468401487
2025-01-14 01:11:26,554 - b2_model - INFO - Evaluating : Epoch 12, Batch 14/84 loss 1.169222618852343 accuracy 0.5875
2025-01-14 01:11:38,986 - b2_model - INFO - Evaluating : Epoch 12, Batch 29/84 loss 1.1766324721533676 accuracy 0.5833333333333334
2025-01-14 01:11:51,371 - b2_model - INFO - Evaluating : Epoch 12, Batch 44/84 loss 1.0510280565782026 accuracy 0.6291666666666667
2025-01-14 01:12:02,656 - b2_model - INFO - Evaluating : Epoch 12, Batch 59/84 loss 1.0008009005401095 accuracy 0.6375
2025-01-14 01:12:13,468 - b2_model - INFO - Evaluating : Epoch 12, Batch 74/84 loss 0.9753801734060854 accuracy 0.6466666666666666
2025-01-14 01:12:18,849 - b2_model - INFO - Eval Epoch 12: Loss 0.9471723855960936, Accuracy: 0.6510067114093959
2025-01-14 01:12:18,966 - b2_model - INFO - Epoch 13, Current LR: 1.1764899999999996e-05
2025-01-14 01:12:35,899 - b2_model - INFO - Training: Epoch 13, Batch 19/135 loss 0.675524691217824 accuracy 0.796875
2025-01-14 01:12:51,534 - b2_model - INFO - Training: Epoch 13, Batch 39/135 loss 0.6858961864923819 accuracy 0.7890625
2025-01-14 01:13:07,389 - b2_model - INFO - Training: Epoch 13, Batch 59/135 loss 0.6911397465204788 accuracy 0.7875
2025-01-14 01:13:23,139 - b2_model - INFO - Training: Epoch 13, Batch 79/135 loss 0.6820665737496147 accuracy 0.78828125
2025-01-14 01:13:38,901 - b2_model - INFO - Training: Epoch 13, Batch 99/135 loss 0.6701475150055356 accuracy 0.794375
2025-01-14 01:13:54,616 - b2_model - INFO - Training: Epoch 13, Batch 119/135 loss 0.667100760866614 accuracy 0.796875
2025-01-14 01:14:05,692 - b2_model - INFO - Epoch 13, Loss: 0.6565363060545039 Accuracy: 0.800185873605948
2025-01-14 01:14:19,568 - b2_model - INFO - Evaluating : Epoch 13, Batch 14/84 loss 1.1830017183508192 accuracy 0.5833333333333334
2025-01-14 01:14:32,082 - b2_model - INFO - Evaluating : Epoch 13, Batch 29/84 loss 1.199270238136423 accuracy 0.5708333333333333
2025-01-14 01:14:44,549 - b2_model - INFO - Evaluating : Epoch 13, Batch 44/84 loss 1.0686540657823735 accuracy 0.6222222222222222
2025-01-14 01:14:55,884 - b2_model - INFO - Evaluating : Epoch 13, Batch 59/84 loss 1.0154899328441944 accuracy 0.6354166666666666
2025-01-14 01:15:06,749 - b2_model - INFO - Evaluating : Epoch 13, Batch 74/84 loss 0.9903293461412996 accuracy 0.64
2025-01-14 01:15:12,146 - b2_model - INFO - Eval Epoch 13: Loss 0.963329770735332, Accuracy: 0.6428038777032066
2025-01-14 01:15:12,201 - b2_model - INFO - Epoch 14, Current LR: 1.1764899999999996e-05
2025-01-14 01:15:29,222 - b2_model - INFO - Training: Epoch 14, Batch 19/135 loss 0.7103001992953452 accuracy 0.76875
2025-01-14 01:15:45,124 - b2_model - INFO - Training: Epoch 14, Batch 39/135 loss 0.702610541612674 accuracy 0.7640625
2025-01-14 01:16:00,657 - b2_model - INFO - Training: Epoch 14, Batch 59/135 loss 0.6908650292178332 accuracy 0.7677083333333333
2025-01-14 01:16:16,284 - b2_model - INFO - Training: Epoch 14, Batch 79/135 loss 0.6822494200513333 accuracy 0.7734375
2025-01-14 01:16:31,799 - b2_model - INFO - Training: Epoch 14, Batch 99/135 loss 0.6836922216897059 accuracy 0.775625
2025-01-14 01:16:47,331 - b2_model - INFO - Training: Epoch 14, Batch 119/135 loss 0.6781638765535435 accuracy 0.7776041666666667
2025-01-14 01:16:57,572 - b2_model - INFO - Epoch 14, Loss: 0.669450044631958 Accuracy: 0.7797397769516728
2025-01-14 01:17:11,252 - b2_model - INFO - Evaluating : Epoch 14, Batch 14/84 loss 1.1592307857104711 accuracy 0.5916666666666667
2025-01-14 01:17:23,697 - b2_model - INFO - Evaluating : Epoch 14, Batch 29/84 loss 1.1629634417336563 accuracy 0.58125
2025-01-14 01:17:36,131 - b2_model - INFO - Evaluating : Epoch 14, Batch 44/84 loss 1.042316239665855 accuracy 0.6319444444444444
2025-01-14 01:17:47,509 - b2_model - INFO - Evaluating : Epoch 14, Batch 59/84 loss 0.9958858111147153 accuracy 0.640625
2025-01-14 01:17:58,296 - b2_model - INFO - Evaluating : Epoch 14, Batch 74/84 loss 0.9721172754023526 accuracy 0.6433333333333333
2025-01-14 01:18:03,695 - b2_model - INFO - Eval Epoch 14: Loss 0.9471378684753463, Accuracy: 0.6428038777032066
2025-01-14 08:21:34,107 - b2_model - INFO - Training class distribution: Counter({'l-pass': 378, 'r-pass': 353, 'l-set': 304, 'l-spike': 289, 'r-set': 283, 'r-spike': 261, 'l-winpoint': 161, 'r-winpoint': 123})
2025-01-14 08:21:34,107 - b2_model - INFO - Validation class distribution: Counter({'r-pass': 238, 'l-pass': 222, 'r-spike': 189, 'l-spike': 174, 'r-set': 169, 'l-set': 160, 'l-winpoint': 104, 'r-winpoint': 85})
2025-01-14 08:21:36,151 - b2_model - INFO - Current path: C:\Project\project
